Scene,Filename,Method,BE (cm),Compression Ratio,Compression Time (s),Decompression Time (s),Mean Error (Axis),Max Error (Axis),Mean Error (L2),Max Error (L2),Num Packets,Chamfer Distance,Occupancy IoU
sample_0,0000000000.bin,Huffman,0,0.6475419194723137,nan,nan,0.0,0.0,0.0,0.0,7838,0.0,1.0
sample_0,0000000000.bin,EB-HC(Axis),1.0,0.33610130731913657,nan,nan,0.004670380149036646,0.009000003337860107,0.005859869491663194,0.010392928136573411,4069,7.607633750699781e-05,0.8868102945580054
sample_0,0000000000.bin,EB-HC(L2),1.0,0.3428560098346354,nan,nan,0.00392737053334713,0.007999956607818604,0.004918976133777455,0.008661484682358719,4150,5.3786088420185375e-05,0.902792124207415
sample_0,0000000000.bin,EB-Octree(Axis),1.0,0.5501143408547144,nan,nan,0.0001892295986181125,0.007999897003173828,0.00021852795250598168,0.009949836127893859,6659,2.03693585580531e-06,0.9994155269442079
sample_0,0000000000.bin,EB-Octree(L2),1.0,0.5396253849916062,nan,nan,0.0005087363533675671,0.01000000536441803,0.0005592142613671747,0.010000133514517982,6532,6.419022875487382e-06,0.9984470753251958
sample_0,0000000000.bin,EB-HC-3D(Axis),1.0,0.24635298938546749,nan,nan,0.0037338624242693186,0.005001068115234375,0.004782994713275533,0.00862115594595319,2982,4.955401626861824e-05,0.907073376530336
sample_0,0000000000.bin,EB-HC-3D(L2),1.0,0.24635298938546749,nan,nan,0.0037338624242693186,0.005001068115234375,0.004782994713275533,0.00862115594595319,2982,4.955401626861824e-05,0.907073376530336
sample_1,0000000001.bin,Huffman,0,0.6470747396803505,nan,nan,0.0,0.0,0.0,0.0,7837,0.0,1.0
sample_1,0000000001.bin,EB-HC(Axis),1.0,0.3353242072834016,nan,nan,0.004675368778407574,0.009000062942504883,0.005867035184902633,0.010392928136573411,4062,7.625163223509999e-05,0.8841069005774146
sample_1,0000000001.bin,EB-HC(L2),1.0,0.34204720498207286,nan,nan,0.00392476562410593,0.008000016212463379,0.00491833530140696,0.00866141586723481,4143,5.3777555935019696e-05,0.8957530182602763
sample_1,0000000001.bin,EB-Octree(Axis),1.0,0.5492064246968772,nan,nan,0.00018737485515885055,0.00700002908706665,0.0002167307596891841,0.009949836127893859,6652,2.0179927945919184e-06,0.9995146281047065
sample_1,0000000001.bin,EB-Octree(L2),1.0,0.5395922341384021,nan,nan,0.0004905161331407726,0.009999999776482582,0.0005395849537271787,0.010000228893204361,6536,6.1667849612050785e-06,0.9985606935448779
sample_1,0000000001.bin,EB-HC-3D(Axis),1.0,0.24603806836346725,nan,nan,0.003734002588316798,0.0049991607666015625,0.004784652365985417,0.008543985867206937,2980,4.96029971104601e-05,0.8825506532853626
sample_1,0000000001.bin,EB-HC-3D(L2),1.0,0.24603938944770753,nan,nan,0.0037340123672038317,0.0049991607666015625,0.004784678832989342,0.008543985867206937,2980,4.9603476331866135e-05,0.8825506532853626
sample_2,0000000002.bin,Huffman,0,0.6464453694604704,nan,nan,0.0,0.0,0.0,0.0,7831,0.0,1.0
sample_2,0000000002.bin,EB-HC(Axis),1.0,0.3346884972209895,nan,nan,0.004681998863816261,0.009000062942504883,0.005872980947748006,0.010392928136573411,4055,7.630940644183314e-05,0.8814272211720227
sample_2,0000000002.bin,EB-HC(L2),1.0,0.3413989359453919,nan,nan,0.003920059651136398,0.007999897003173828,0.004908999023443326,0.008661484682358719,4136,5.3598451670215115e-05,0.9100215948172439
sample_2,0000000002.bin,EB-Octree(Axis),1.0,0.5484510714512141,nan,nan,0.0001893348089652136,0.00700002908706665,0.0002187521919817121,0.009949836127893859,6644,2.0224706073106924e-06,0.9994977314202481
sample_2,0000000002.bin,EB-Octree(L2),1.0,0.5385726399543523,nan,nan,0.0004938662168569863,0.009999998845160007,0.0005435235140678629,0.010000133514517982,6525,6.182283757955329e-06,0.9987945957710401
sample_2,0000000002.bin,EB-HC-3D(Axis),1.0,0.24591403558824151,nan,nan,0.0037740732077509165,0.0049991607666015625,0.004835646704652173,0.008602434894806835,2979,5.062303383460705e-05,0.9020804128966484
sample_2,0000000002.bin,EB-HC-3D(L2),1.0,0.2459146959994928,nan,nan,0.0037740683183073997,0.0049991607666015625,0.004835639333584275,0.008602434894806835,2979,5.062290645888079e-05,0.9020804128966484
sample_3,0000000003.bin,Huffman,0,0.6467463423550404,nan,nan,0.0,0.0,0.0,0.0,7841,0.0,1.0
sample_3,0000000003.bin,EB-HC(Axis),1.0,0.3345593669496178,nan,nan,0.004674617666751146,0.009000062942504883,0.0058618679097286125,0.010392928136573411,4057,7.614190950621603e-05,0.8937197303029344
sample_3,0000000003.bin,EB-HC(L2),1.0,0.3412959531652519,nan,nan,0.003923973999917507,0.007999897003173828,0.00492054519825075,0.008661484682358719,4138,5.388213013798143e-05,0.9023354226987814
sample_3,0000000003.bin,EB-Octree(Axis),1.0,0.5495837556484648,nan,nan,0.00018679536879062653,0.007000088691711426,0.00021593301898373756,0.009949836127893859,6663,2.0312770390380985e-06,0.999514985282312
sample_3,0000000003.bin,EB-Octree(L2),1.0,0.5399727870687107,nan,nan,0.0004910839488729835,0.009999999776482582,0.0005405665372043087,0.010000324251086509,6547,6.1785456324846415e-06,0.9988795424519624
sample_3,0000000003.bin,EB-HC-3D(Axis),1.0,0.2462717492292749,nan,nan,0.0037888826336711645,0.00559687614440918,0.0048698443096240026,0.008580202537997997,2986,5.1244294392891744e-05,0.8897588079302943
sample_3,0000000003.bin,EB-HC-3D(L2),1.0,0.2462717492292749,nan,nan,0.0037888826336711645,0.00559687614440918,0.0048698443096240026,0.008580202537997997,2986,5.1244294392891744e-05,0.8897588079302943
sample_4,0000000004.bin,Huffman,0,0.6473224064265677,nan,nan,0.0,0.0,0.0,0.0,7850,0.0,1.0
sample_4,0000000004.bin,EB-HC(Axis),1.0,0.33453541183394164,nan,nan,0.0046717324294149876,0.009000062942504883,0.005859568859996981,0.010392928136573411,4057,7.607176071774694e-05,0.8784920796578036
sample_4,0000000004.bin,EB-HC(L2),1.0,0.3412715377896006,nan,nan,0.003924509044736624,0.007000088691711426,0.004917625642369094,0.008661484682358719,4139,5.375206051465218e-05,0.8943848999336053
sample_4,0000000004.bin,EB-Octree(Axis),1.0,0.5501138741762925,nan,nan,0.00018743737018667161,0.008000016212463379,0.000215500262345583,0.009949836127893859,6671,1.999005125839787e-06,0.9994490082147867
sample_4,0000000004.bin,EB-Octree(L2),1.0,0.5402557748590098,nan,nan,0.0004932824522256851,0.01000000536441803,0.0005423040508587388,0.010000133514517982,6551,6.201427118727413e-06,0.998747808665164
sample_4,0000000004.bin,EB-HC-3D(Axis),1.0,0.24588113277755347,nan,nan,0.003788203466683626,0.006064176559448242,0.004867434458016669,0.00859551478428752,2982,5.1227799610949274e-05,0.8905176362803482
sample_4,0000000004.bin,EB-HC-3D(L2),1.0,0.24588113277755347,nan,nan,0.003788203466683626,0.006064176559448242,0.004867434458016669,0.00859551478428752,2982,5.1227799610949274e-05,0.8905176362803482
